Name,Time,Cumulative PnL
TestInstance,2022-Mar-02 14:30:15.344773,0.000000
TestInstance,2022-Mar-02 14:31:18.606771,0.000000
TestInstance,2022-Mar-02 14:32:20.411062,0.000000
TestInstance,2022-Mar-02 14:33:21.951643,175.282800
TestInstance,2022-Mar-02 14:34:26.604069,175.282800
TestInstance,2022-Mar-02 14:35:28.686778,26.232800
TestInstance,2022-Mar-02 14:36:32.084216,26.232800
TestInstance,2022-Mar-02 14:37:39.263707,-823.352200
TestInstance,2022-Mar-02 14:38:44.717038,-823.352200
TestInstance,2022-Mar-02 14:39:58.749972,-808.447200
TestInstance,2022-Mar-02 14:41:02.831586,801.292800
TestInstance,2022-Mar-02 14:42:05.620068,741.672800
TestInstance,2022-Mar-02 14:43:09.626716,592.622800
TestInstance,2022-Mar-02 14:44:14.888087,1367.682800
TestInstance,2022-Mar-02 14:45:17.373372,1963.882800
TestInstance,2022-Mar-02 14:46:23.812688,2247.077800
TestInstance,2022-Mar-02 14:47:26.256369,3156.282800
TestInstance,2022-Mar-02 14:48:28.659665,3767.387800
TestInstance,2022-Mar-02 14:49:30.101477,2798.562800
TestInstance,2022-Mar-02 14:50:34.887966,3051.947800
TestInstance,2022-Mar-02 14:51:37.432260,3230.807800
TestInstance,2022-Mar-02 14:52:44.362395,3633.242800
TestInstance,2022-Mar-02 14:53:56.059305,3633.242800
TestInstance,2022-Mar-02 14:54:57.836080,2783.657800
TestInstance,2022-Mar-02 14:55:59.349067,3394.762800
TestInstance,2022-Mar-02 14:57:00.313026,2738.942800
TestInstance,2022-Mar-02 14:58:09.853219,1621.067800
TestInstance,2022-Mar-02 14:59:15.897737,2291.792800
TestInstance,2022-Mar-02 15:00:28.903653,3096.662800
TestInstance,2022-Mar-02 15:01:32.901005,3394.762800
TestInstance,2022-Mar-02 15:02:35.913686,4110.202800
TestInstance,2022-Mar-02 15:03:40.611596,4393.397800
TestInstance,2022-Mar-02 15:04:46.183953,4855.452800
TestInstance,2022-Mar-02 15:05:49.430970,4706.402800
TestInstance,2022-Mar-02 15:06:52.897011,4706.402800
TestInstance,2022-Mar-02 15:07:56.142711,2649.512800
TestInstance,2022-Mar-02 15:09:01.153137,1591.257800
TestInstance,2022-Mar-02 15:10:03.362387,145.472800
TestInstance,2022-Mar-02 15:11:05.599930,11.327800
TestInstance,2022-Mar-02 15:12:10.320983,-78.102200
TestInstance,2022-Mar-02 15:13:14.329349,860.912800
TestInstance,2022-Mar-02 15:14:16.122013,622.432800
TestInstance,2022-Mar-02 15:15:26.858211,-719.017200
TestInstance,2022-Mar-02 15:16:29.273475,-63.197200
TestInstance,2022-Mar-02 15:17:46.849810,-182.437200
TestInstance,2022-Mar-02 15:18:48.004913,175.282800
TestInstance,2022-Mar-02 15:19:51.197491,383.952800
TestInstance,2022-Mar-02 15:20:55.019337,1069.582800
TestInstance,2022-Mar-02 15:21:56.971309,1561.447800
TestInstance,2022-Mar-02 15:23:00.803267,1188.822800
TestInstance,2022-Mar-02 15:24:03.836601,652.242800
TestInstance,2022-Mar-02 15:25:07.961847,652.242800
TestInstance,2022-Mar-02 15:26:10.652239,682.052800
TestInstance,2022-Mar-02 15:27:11.184631,-629.587200
TestInstance,2022-Mar-02 15:28:14.169883,1486.922800
TestInstance,2022-Mar-02 15:29:19.834080,4140.012800
TestInstance,2022-Mar-02 15:30:20.817997,4259.252800
TestInstance,2022-Mar-02 15:31:21.933457,3215.902800
TestInstance,2022-Mar-02 15:32:24.391048,2768.752800
TestInstance,2022-Mar-02 15:33:26.851514,3245.712800
TestInstance,2022-Mar-02 15:34:28.123671,4602.067800
TestInstance,2022-Mar-02 15:35:37.992295,3931.342800
TestInstance,2022-Mar-02 15:36:40.288621,5123.742800
TestInstance,2022-Mar-02 15:37:42.601708,6584.516600
TestInstance,2022-Mar-02 15:38:50.978184,6226.676600
TestInstance,2022-Mar-02 15:40:02.778625,6077.576600
TestInstance,2022-Mar-02 15:41:09.312311,6092.486600
TestInstance,2022-Mar-02 15:42:17.716900,6211.766600
TestInstance,2022-Mar-02 15:43:20.766554,5332.076600
TestInstance,2022-Mar-02 15:44:24.961744,6167.036600
TestInstance,2022-Mar-02 15:45:30.638920,5898.656600
TestInstance,2022-Mar-02 15:46:31.187931,5361.896600
TestInstance,2022-Mar-02 15:47:41.370033,5093.516600
TestInstance,2022-Mar-02 15:48:48.204165,5839.016600
TestInstance,2022-Mar-02 15:49:56.802072,6584.516600
TestInstance,2022-Mar-02 15:51:01.433014,6167.036600
TestInstance,2022-Mar-02 15:52:08.767438,5779.376600
TestInstance,2022-Mar-02 15:53:11.521054,5138.246600
TestInstance,2022-Mar-02 15:54:15.644896,4735.676600
TestInstance,2022-Mar-02 15:55:17.703228,3542.876600
TestInstance,2022-Mar-02 15:56:22.054098,3542.876600
TestInstance,2022-Mar-02 15:57:26.847514,3542.876600
TestInstance,2022-Mar-02 15:58:28.893678,6226.676600
TestInstance,2022-Mar-02 15:59:30.765957,6167.036600
TestInstance,2022-Mar-02 16:00:37.298763,5868.836600
TestInstance,2022-Mar-02 16:01:43.189373,5004.056600
TestInstance,2022-Mar-02 16:02:44.376976,5660.096600
TestInstance,2022-Mar-02 16:03:49.339815,7151.096600
TestInstance,2022-Mar-02 16:04:50.785978,8731.556600
TestInstance,2022-Mar-02 16:05:54.394849,7836.956600
TestInstance,2022-Mar-02 16:06:56.082696,9834.896600
TestInstance,2022-Mar-02 16:08:01.097165,10103.276600
TestInstance,2022-Mar-02 16:09:03.615974,10043.636600
TestInstance,2022-Mar-02 16:10:09.890150,9655.976600
TestInstance,2022-Mar-02 16:11:16.024073,9506.876600
TestInstance,2022-Mar-02 16:12:23.774234,9506.876600
TestInstance,2022-Mar-02 16:13:29.750330,9506.876600
TestInstance,2022-Mar-02 16:14:34.761257,10699.676600
TestInstance,2022-Mar-02 16:15:36.497699,10625.126600
TestInstance,2022-Mar-02 16:16:38.214251,10610.216600
TestInstance,2022-Mar-02 16:17:44.474604,10222.556600
TestInstance,2022-Mar-02 16:18:50.524060,10013.816600
TestInstance,2022-Mar-02 16:19:56.294063,9655.976600
TestInstance,2022-Mar-02 16:21:01.966321,10431.296600
TestInstance,2022-Mar-02 16:22:08.850480,10341.836600
TestInstance,2022-Mar-02 16:23:14.952466,10073.456600
TestInstance,2022-Mar-02 16:24:20.914778,9313.046600
TestInstance,2022-Mar-02 16:25:29.641659,9536.696600
TestInstance,2022-Mar-02 16:26:34.744958,9536.696600
TestInstance,2022-Mar-02 16:27:37.995001,10312.016600
TestInstance,2022-Mar-02 16:28:40.724054,11773.196600
TestInstance,2022-Mar-02 16:29:45.086277,10968.056600
TestInstance,2022-Mar-02 16:30:46.796987,10490.936600
TestInstance,2022-Mar-02 16:31:49.832199,12041.576600
TestInstance,2022-Mar-02 16:32:51.668176,12727.436600
TestInstance,2022-Mar-02 16:33:54.194077,12757.256600
TestInstance,2022-Mar-02 16:35:00.026925,12071.396600
TestInstance,2022-Mar-02 16:36:03.762379,10625.126600
TestInstance,2022-Mar-02 16:37:09.266700,10162.916600
TestInstance,2022-Mar-02 16:38:12.260148,10401.476600
TestInstance,2022-Mar-02 16:39:25.252841,10893.506600
TestInstance,2022-Mar-02 16:40:34.469361,10893.506600
TestInstance,2022-Mar-02 16:41:47.002469,10222.556600
TestInstance,2022-Mar-02 16:42:49.672419,9834.896600
TestInstance,2022-Mar-02 16:43:59.154823,9834.896600
TestInstance,2022-Mar-02 16:45:12.529285,9059.576600
TestInstance,2022-Mar-02 16:46:20.389595,9059.576600
TestInstance,2022-Mar-02 16:47:31.761991,9059.576600
TestInstance,2022-Mar-02 16:48:40.820567,10103.276600
TestInstance,2022-Mar-02 16:49:41.978170,9432.326600
TestInstance,2022-Mar-02 16:50:51.546977,9178.856600
TestInstance,2022-Mar-02 16:51:55.904057,9954.176600
TestInstance,2022-Mar-02 16:52:58.890449,10118.186600
TestInstance,2022-Mar-02 16:54:06.021370,10192.736600
TestInstance,2022-Mar-02 16:55:09.599827,9805.076600
TestInstance,2022-Mar-02 16:56:18.883909,9894.536600
TestInstance,2022-Mar-02 16:57:25.689489,10103.276600
TestInstance,2022-Mar-02 16:58:32.166056,10610.216600
TestInstance,2022-Mar-02 16:59:35.393285,10431.296600
TestInstance,2022-Mar-02 17:00:37.110747,10565.486600
TestInstance,2022-Mar-02 17:01:42.424269,10431.296600
TestInstance,2022-Mar-02 17:02:50.206131,10908.416600
TestInstance,2022-Mar-02 17:03:52.639069,10908.416600
TestInstance,2022-Mar-02 17:04:57.978945,10908.416600
TestInstance,2022-Mar-02 17:06:05.409005,9864.716600
TestInstance,2022-Mar-02 17:07:08.551640,10326.926600
TestInstance,2022-Mar-02 17:08:17.432808,10282.196600
TestInstance,2022-Mar-02 17:09:28.706380,10818.956600
TestInstance,2022-Mar-02 17:10:39.068567,10818.956600
TestInstance,2022-Mar-02 17:11:43.225888,11803.016600
TestInstance,2022-Mar-02 17:12:49.550344,10878.596600
TestInstance,2022-Mar-02 17:13:52.647357,11340.806600
TestInstance,2022-Mar-02 17:15:00.650034,11445.176600
TestInstance,2022-Mar-02 17:16:07.864108,11266.256600
TestInstance,2022-Mar-02 17:17:11.299673,11534.636600
TestInstance,2022-Mar-02 17:18:20.920562,11400.446600
TestInstance,2022-Mar-02 17:19:31.840742,11549.546600
TestInstance,2022-Mar-02 17:20:36.247766,11549.546600
TestInstance,2022-Mar-02 17:21:43.457052,11474.996600
TestInstance,2022-Mar-02 17:22:51.953012,11445.176600
TestInstance,2022-Mar-02 17:23:58.665379,10938.236600
TestInstance,2022-Mar-02 17:25:01.580955,10490.936600
TestInstance,2022-Mar-02 17:26:04.161975,10580.396600
TestInstance,2022-Mar-02 17:27:14.269666,10580.396600
TestInstance,2022-Mar-02 17:28:26.100397,10580.396600
TestInstance,2022-Mar-02 17:29:32.328876,11266.256600
TestInstance,2022-Mar-02 17:30:43.918312,11534.636600
TestInstance,2022-Mar-02 17:31:54.381667,11922.296600
TestInstance,2022-Mar-02 17:32:59.515762,11922.296600
TestInstance,2022-Mar-02 17:34:10.451106,11832.836600
TestInstance,2022-Mar-02 17:35:15.963512,11847.746600
TestInstance,2022-Mar-02 17:36:24.328950,11474.996600
TestInstance,2022-Mar-02 17:37:28.883692,12608.156600
TestInstance,2022-Mar-02 17:38:35.572820,12608.156600
TestInstance,2022-Mar-02 17:39:37.377509,12548.516600
TestInstance,2022-Mar-02 17:40:43.257640,12533.606600
TestInstance,2022-Mar-02 17:41:50.761980,12041.576600
TestInstance,2022-Mar-02 17:43:04.141297,12041.576600
TestInstance,2022-Mar-02 17:44:11.744208,12041.576600
TestInstance,2022-Mar-02 17:45:17.896442,12041.576600
TestInstance,2022-Mar-02 17:46:23.818564,12250.316600
TestInstance,2022-Mar-02 17:47:32.871444,12190.676600
TestInstance,2022-Mar-02 17:48:45.536897,11504.816600
TestInstance,2022-Mar-02 17:49:52.282041,12309.956600
TestInstance,2022-Mar-02 17:51:04.230998,12309.956600
TestInstance,2022-Mar-02 17:52:07.433324,10878.596600
TestInstance,2022-Mar-02 17:53:19.368866,11981.936600
TestInstance,2022-Mar-02 17:54:26.390062,11981.936600
TestInstance,2022-Mar-02 17:55:31.302754,12041.576600
TestInstance,2022-Mar-02 17:56:38.757146,12041.576600
TestInstance,2022-Mar-02 17:57:46.222748,11594.276600
TestInstance,2022-Mar-02 17:58:55.451392,11474.996600
TestInstance,2022-Mar-02 18:00:01.929806,11474.996600
TestInstance,2022-Mar-02 18:01:07.155482,12369.596600
TestInstance,2022-Mar-02 18:02:17.151115,12369.596600
TestInstance,2022-Mar-02 18:03:21.249948,13130.006600
TestInstance,2022-Mar-02 18:04:27.216488,13413.296600
TestInstance,2022-Mar-02 18:05:34.808043,13890.416600
TestInstance,2022-Mar-02 18:06:40.398979,13562.396600
TestInstance,2022-Mar-02 18:07:42.843549,13547.486600
TestInstance,2022-Mar-02 18:08:46.124839,13696.586600
TestInstance,2022-Mar-02 18:09:56.559735,13592.216600
TestInstance,2022-Mar-02 18:11:01.574916,13771.136600
TestInstance,2022-Mar-02 18:12:06.656336,13786.046600
TestInstance,2022-Mar-02 18:13:09.424596,13771.136600
TestInstance,2022-Mar-02 18:14:14.734939,12995.816600
TestInstance,2022-Mar-02 18:15:23.245420,13547.486600
TestInstance,2022-Mar-02 18:16:42.839959,12980.906600
