Name,Time,Cumulative PnL
TestInstance,2022-Jan-25 16:58:46.422632,1938.332800
TestInstance,2022-Jan-25 16:59:51.585735,2071.622800
TestInstance,2022-Jan-25 17:01:06.225629,2042.002800
TestInstance,2022-Jan-25 17:02:20.368231,1908.712800
TestInstance,2022-Jan-25 17:03:53.405882,1819.852800
TestInstance,2022-Jan-25 17:05:12.253086,2767.692800
TestInstance,2022-Jan-25 17:06:12.677465,3523.002800
TestInstance,2022-Jan-25 17:07:45.580698,4085.782800
TestInstance,2022-Jan-25 17:10:14.805240,4263.502800
TestInstance,2022-Jan-25 17:11:46.145200,3789.582800
TestInstance,2022-Jan-25 17:13:04.235816,3567.432800
TestInstance,2022-Jan-25 17:14:32.231174,4056.162800
TestInstance,2022-Jan-25 17:15:41.142213,4811.472800
TestInstance,2022-Jan-25 17:16:44.966085,3286.042800
TestInstance,2022-Jan-25 17:18:14.440913,3582.242800
TestInstance,2022-Jan-25 17:19:42.634757,3360.092800
TestInstance,2022-Jan-25 17:20:55.407344,4381.982800
TestInstance,2022-Jan-25 17:22:09.452218,4559.702800
TestInstance,2022-Jan-25 17:23:12.253542,4841.092800
TestInstance,2022-Jan-25 17:24:47.947949,5092.862800
TestInstance,2022-Jan-25 17:26:55.071100,5196.532800
TestInstance,2022-Jan-25 17:28:01.960481,5359.442800
TestInstance,2022-Jan-25 17:29:05.397523,4574.512800
TestInstance,2022-Jan-25 17:30:40.793244,4870.712800
TestInstance,2022-Jan-25 17:31:49.838848,4352.362800
TestInstance,2022-Jan-25 17:32:50.429801,3700.722800
TestInstance,2022-Jan-25 17:35:30.523624,3537.812800
TestInstance,2022-Jan-25 17:38:20.165837,3848.822800
TestInstance,2022-Jan-25 17:39:54.921701,3478.572800
TestInstance,2022-Jan-25 17:42:32.223865,3774.772800
TestInstance,2022-Jan-25 17:44:50.638795,3049.082800
TestInstance,2022-Jan-25 17:46:13.939698,3967.302800
TestInstance,2022-Jan-25 17:48:00.379632,3893.252800
TestInstance,2022-Jan-25 17:49:00.499177,3508.192800
TestInstance,2022-Jan-25 17:51:12.375745,3019.462800
TestInstance,2022-Jan-25 17:53:53.978742,2960.222800
TestInstance,2022-Jan-25 17:55:58.462418,3360.092800
TestInstance,2022-Jan-25 17:58:11.765843,2486.302800
TestInstance,2022-Jan-25 17:59:38.347202,2960.222800
TestInstance,2022-Jan-25 18:00:53.328677,3315.662800
TestInstance,2022-Jan-25 18:02:01.838466,3374.902800
TestInstance,2022-Jan-25 18:03:04.735581,3093.512800
TestInstance,2022-Jan-25 18:06:59.348240,3263.827800
TestInstance,2022-Jan-25 18:08:14.763657,2501.112800
TestInstance,2022-Jan-25 18:09:37.432698,2812.122800
TestInstance,2022-Jan-25 18:11:03.708312,3211.992800
TestInstance,2022-Jan-25 18:12:30.886740,3389.712800
TestInstance,2022-Jan-25 18:13:35.454135,3715.532800
TestInstance,2022-Jan-25 18:14:53.313690,3952.492800
TestInstance,2022-Jan-25 18:15:56.992584,3863.632800
TestInstance,2022-Jan-25 18:17:24.443998,4115.402800
TestInstance,2022-Jan-25 18:18:45.095268,4189.452800
TestInstance,2022-Jan-25 18:19:51.901368,4248.692800
TestInstance,2022-Jan-25 18:21:35.092977,3908.062800
TestInstance,2022-Jan-25 18:23:06.594188,3996.922800
